t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
35118.9,73.7382,6951.73,4702.76,6951.88,4704.88,3295.33,0,0.823245,13.5615,1.92,1.86167
35134.3,64.9794,6950.89,4690.79,6951.56,4700.27,3286.42,1,0.207982,15.3895,2.25,1.98863
35150.7,61.0247,6950.89,4690.79,6951.21,4695.37,3274.08,0,0.617652,16.3868,2.25,2.12383
35167.4,59.7918,6950.08,4678.82,6950.86,4690.36,3264.31,1,0.03577,16.7247,2.58,2.2618
35183.9,60.6936,6950.08,4678.82,6950.53,4685.43,3252.08,0,0.447675,16.4762,2.58,2.39773
35200.5,60.1996,6950.08,4678.82,6950.19,4680.46,3239.83,0,0.86296,16.6114,2.58,2.53478
35216.7,61.9859,6949.65,4666.83,6949.96,4675.63,3230.74,1,0.266277,16.1327,2.91,2.66787
35234,57.6306,6949.65,4666.83,6949.78,4670.42,3218.13,0,0.700075,17.3519,2.91,2.81102
35251.3,57.9233,6949.56,4654.83,6949.64,4665.25,3208.37,1,0.13168,17.2642,3.24,2.95345
35267.8,60.6686,6949.56,4654.83,6949.6,4660.3,3196.56,0,0.543755,16.483,3.24,3.08944
35284.6,59.3289,6949.56,4654.83,6949.57,4655.25,3184.58,0,0.965135,16.8552,3.24,3.22849
35300.9,61.3335,6949.14,4642.83,6949.4,4650.36,3175.73,1,0.372743,16.3043,3.57,3.363
35317.3,60.9853,6949.14,4642.83,6949.23,4645.44,3164.24,0,0.782677,16.3974,3.57,3.49828
35334.5,58.3322,6948.43,4630.86,6948.99,4640.3,3154.94,1,0.211258,17.1432,3.9,3.63971
35351.9,57.2377,6948.43,4630.86,6948.68,4635.07,3142.87,0,0.648032,17.471,3.9,3.78385
35367.6,63.7446,6947.17,4618.92,6948.38,4630.38,3134.72,1,0.0402225,15.6876,4.23,3.91327
35384.2,60.1645,6947.17,4618.92,6947.85,4625.42,3123.38,0,0.45575,16.6211,4.23,4.0504
35400.7,60.7139,6947.17,4618.92,6947.34,4620.5,3112.23,0,0.867517,16.4707,4.23,4.18628
35417.6,59.1937,6945.48,4607.04,6946.68,4615.48,3103.47,1,0.28986,16.8937,4.56,4.32565
