t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms
32082.8,62.2088,8573.63,2673.63,8576.02,2676.02,3667.36,0,0.718777,16.0749
32100.5,56.4,8565.15,2665.15,8572.26,2672.26,3655.44,1,0.16204,17.7305
32118.1,56.7679,8565.15,2665.15,8568.52,2668.52,3641.03,0,0.60243,17.6156
32132.9,67.3995,8565.15,2665.15,8565.37,2665.37,3628.98,0,0.973352,14.8369
32151.1,55.0137,8556.66,2656.66,8561.52,2661.52,3616.99,1,0.427785,18.1773
32166.2,66.4284,8556.66,2656.66,8558.32,2658.32,3604.93,0,0.80413,15.0538
32183.4,57.9109,8548.18,2648.18,8554.66,2654.66,3593.85,1,0.235828,17.2679
32199.4,62.7183,8548.18,2648.18,8551.28,2651.28,3581.25,0,0.634435,15.9443
32216.1,59.7618,8539.69,2639.69,8547.73,2647.73,3570.76,1,0.0527625,16.7331
32232.7,60.2109,8539.69,2639.69,8544.21,2644.2,3557.81,0,0.46797,16.6083
32251.4,53.4425,8539.69,2639.69,8540.24,2640.24,3543.35,0,0.935763,18.7117
32266.3,67.3868,8531.21,2631.21,8537.09,2637.09,3534.55,1,0.306755,14.8397
32284.2,55.8925,8531.21,2631.21,8533.29,2633.29,3520.91,0,0.754043,17.8915
32300.7,60.3795,8522.72,2622.72,8529.78,2629.78,3510.95,1,0.16809,16.5619
32316.8,62.2185,8522.72,2622.72,8526.37,2626.37,3498.86,0,0.5699,16.0724
32333.7,59.0273,8522.72,2622.72,8522.78,2622.78,3486.2,0,0.993433,16.9413
32351.1,57.612,8514.23,2614.23,8519.09,2619.09,3475.88,1,0.42737,17.3575
32366.6,64.6897,8514.23,2614.23,8515.81,2615.81,3464.49,0,0.81383,15.4584
32389.3,43.9063,8505.75,2605.75,8510.98,2610.98,3450.37,1,0.383225,22.7758
32409.6,49.23,8505.75,2605.75,8506.67,2606.67,3435.65,0,0.891045,20.3128
32427.3,56.708,8497.26,2597.26,8502.93,2602.93,3425.47,1,0.3319,17.6342
32447.2,50.1323,8497.26,2597.26,8498.7,2598.7,3411.23,0,0.83058,19.9472
32466.5,51.9106,8488.78,2588.78,8494.61,2594.61,3400.08,1,0.312178,19.2639
32485.6,52.2892,8488.78,2588.78,8490.56,2590.56,3386.63,0,0.790287,19.1244
32501.2,64.2707,8480.29,2580.29,8487.26,2587.26,3378.24,1,0.179267,15.5592
32528,37.3462,8480.29,2580.29,8481.58,2581.58,3359.7,0,0.84868,26.7765
32546.9,52.7966,8471.81,2571.81,8477.56,2577.56,3349.15,1,0.322195,18.9406
32573.4,37.7344,8471.81,2571.81,8471.94,2571.94,3331.12,0,0.98472,26.501
32592.5,52.4104,8463.32,2563.32,8467.89,2567.89,3320.69,1,0.461725,19.0802
32608.3,63.2375,8463.32,2563.32,8464.54,2564.54,3310.1,0,0.85706,15.8134
32623.5,65.6905,8450,2550,8460.16,2560.16,3303.76,1,0.237632,15.2229
32640.7,58.1971,8450,2550,8454.43,2554.43,3292.38,0,0.667207,17.183
32655.8,66.0149,8450,2550,8450,2550,3282.42,1,0.04591,15.1481
32671.2,65.0898,8450,2550,8450,2550,3272.38,0,0.429995,15.3634
32685.9,68.1324,8450,2550,8450,2550,3262.84,0,0.796928,14.6773
32702.7,59.3039,8450,2550,8450,2550,3251.95,1,0.218485,16.8623
32720.1,57.5848,8450,2550,8450,2550,3240.81,0,0.652628,17.3657
32735.7,64.2599,8450,2550,8450,2550,3230.89,1,0.0416725,15.5618
32754.1,54.3928,8450,2550,8450,2550,3219.25,0,0.501293,18.3848
32769.3,65.4913,8450,2550,8450,2550,3209.65,0,0.883022,15.2692
32784.6,65.3646,8450,2550,8450,2550,3200.09,1,0.265492,15.2988
32803.3,53.5911,8450,2550,8450,2550,3188.5,0,0.731987,18.6598
32816.8,73.9503,8450,2550,8450,2550,3180.15,1,0.0700525,13.5226
32834,58.0919,8450,2550,8450,2550,3169.59,0,0.500405,17.2141
32850.5,60.4964,8450,2550,8450,2550,3159.52,0,0.913652,16.5299
32866.9,61.2561,8450,2550,8450,2550,3149.63,1,0.321775,16.3249
32883.4,60.5378,8450,2550,8450,2550,3139.69,0,0.73474,16.5186
32902.9,51.1478,8450,2550,8450,2550,3128,1,0.22352,19.5512
32918.5,64.1153,8450,2550,8450,2550,3118.74,0,0.613442,15.5969
32936.2,56.6082,8450,2550,8450,2550,3108.32,1,0.055075,17.6653
32951,67.6714,8450,2550,8450,2550,3099.66,0,0.424507,14.7773
32966.4,64.9051,8450,2550,8450,2550,3090.67,0,0.809685,15.4071
32983.1,59.8312,8450,2550,8450,2550,3080.99,1,0.227527,16.7137
32999.9,59.5965,8450,2550,8450,2550,3071.32,0,0.647015,16.7795
33016.5,60.1323,8450,2550,8450,2550,3061.8,1,0.062765,16.63
33033.1,60.1316,8450,2550,8450,2550,3052.35,0,0.47852,16.6302
33051.1,55.6393,8450,2550,8450,2550,3042.19,0,0.927842,17.9729
33067.4,61.5764,8450,2550,8450,2550,3033.07,1,0.333842,16.24
33085.4,55.5565,8450,2550,8450,2550,3023.02,0,0.783835,17.9997
33100.1,67.9934,8450,2550,8450,2550,3014.87,1,0.151517,14.7073
33116.9,59.2884,8450,2550,8450,2550,3005.56,0,0.573185,16.8667
33134,58.5837,8450,2550,8450,2550,2996.21,0,0.999925,17.0696
33151,58.854,8450,2550,8450,2550,2986.95,1,0.424705,16.9912
33166.6,64.0447,8450,2550,8450,2550,2978.5,0,0.815058,15.6141
33183.3,59.9456,8450,2550,8450,2550,2969.52,1,0.232102,16.6818
33199.4,62.0794,8450,2550,8450,2550,2960.9,0,0.634812,16.1084
33217.3,55.9945,8450,2550,8450,2550,2951.4,1,0.081285,17.8589
33233.4,62.0736,8450,2550,8450,2550,2942.88,0,0.484033,16.1099
33249.6,61.6538,8450,2550,8450,2550,2934.36,0,0.889522,16.2196
33266.4,59.4665,8450,2550,8450,2550,2925.57,1,0.309927,16.8162
33287.4,47.576,8450,2550,8450,2550,2914.67,0,0.835402,21.019
33300.1,78.921,8450,2550,8450,2550,2908.13,1,0.152175,12.6709
33318.9,53.0687,8450,2550,8450,2550,2898.46,0,0.623263,18.8435
33336.9,55.6189,8450,2550,8450,2550,2889.3,1,0.07275,17.9795
33351.4,69.0012,8450,2550,8450,2550,2881.95,0,0.435062,14.4925
33378.2,37.2728,8450,2550,8450,2550,2868.45,1,0.105793,26.8292
33391.1,77.6609,8450,2550,8450,2550,2862.02,0,0.427705,12.8765
33403,83.975,8450,2550,8450,2550,2856.1,0,0.725412,11.9083
33420.1,58.5573,8450,2550,8450,2550,2847.64,1,0.152345,17.0773
33436.8,59.7836,8450,2550,8450,2550,2839.41,0,0.57052,16.727
33452.3,64.7811,8450,2550,8450,2550,2831.86,0,0.956435,15.4366
33467.2,67.1019,8450,2550,8450,2550,2824.6,1,0.329002,14.9027
33483.3,61.913,8450,2550,8450,2550,2816.78,0,0.732795,16.1517
33500.7,57.6077,8450,2550,8450,2550,2808.42,1,0.166765,17.3588
33516.8,62.1724,8450,2550,8450,2550,2800.72,0,0.568873,16.0843
33533.1,61.2997,8450,2550,8450,2550,2792.96,0,0.976705,16.3133
33549.8,59.6887,8450,2550,8450,2550,2785.03,1,0.395545,16.7536
33568.9,52.3316,8450,2550,8450,2550,2776.03,0,0.873267,19.1089
33583.9,66.891,8450,2550,8450,2550,2769.04,1,0.24701,14.9497
33601.5,56.718,8450,2550,8450,2550,2760.84,0,0.687787,17.6311
33619,57.2682,8450,2550,8450,2550,2752.76,1,0.12433,17.4617
33634.3,65.2746,8450,2550,8450,2550,2745.71,0,0.507327,15.3199
33653.3,52.704,8450,2550,8450,2550,2737.03,0,0.981675,18.9739
33667.4,70.6664,8450,2550,8450,2550,2730.6,1,0.33545,14.151
33683.7,61.5563,8450,2550,8450,2550,2723.24,0,0.741583,16.2453
33700.3,60.2275,8450,2550,8450,2550,2715.77,1,0.156675,16.6037
33717.2,59.0204,8450,2550,8450,2550,2708.19,0,0.580257,16.9433
33734,59.6495,8450,2550,8450,2550,2700.72,0,0.999372,16.7646
33750.9,59.1646,8450,2550,8450,2550,2693.24,1,0.421923,16.902
33767.1,61.7132,8450,2550,8450,2550,2686.11,0,0.827022,16.204
33785.2,55.3012,8450,2550,8450,2550,2678.19,1,0.279092,18.0828
33800.6,64.9735,8450,2550,8450,2550,2671.49,0,0.663865,15.3909
33817,60.722,8450,2550,8450,2550,2664.35,1,0.0755775,16.4685
33836.6,51.2111,8450,2550,8450,2550,2655.94,0,0.563752,19.527
