t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
65489.2,115.515,5159.9,11343.5,280.028,1,0.0541525
65499.8,94.2036,5159.9,11343.5,279.935,0,0.319535
65508.3,116.835,5159.9,11343.5,279.861,0,0.533512
65517.2,112.51,5159.9,11343.5,279.783,0,0.755715
65525.9,115.532,5159.9,11343.5,279.708,0,0.972105
65535.6,102.419,5158.78,11331.5,279.996,1,0.2162
65546.4,92.8747,5158.78,11331.5,279.902,0,0.48538
65555,116.187,5158.78,11331.5,279.827,0,0.70055
65563.9,112.507,5158.78,11331.5,279.75,0,0.922758
65572.5,116.035,5157.7,11319.6,280.048,1,0.13821
65583.2,93.2271,5157.7,11319.6,279.955,0,0.406372
65591.9,114.874,5157.7,11319.6,279.879,0,0.624003
65600.5,116.409,5157.7,11319.6,279.804,0,0.838763
65609.1,116.989,5156.65,11307.6,280.103,1,0.0524575
65619.5,96.3354,5156.65,11307.6,280.013,0,0.311967
65628.7,107.918,5156.65,11307.6,279.932,0,0.543625
65637.9,108.737,5156.65,11307.6,279.852,0,0.773538
65647.1,109.004,5155.61,11295.6,280.145,1,0.0028875
65660.9,72.2538,5155.61,11295.6,280.025,0,0.34889
65669.7,114.804,5155.61,11295.6,279.949,0,0.566652
65680,96.767,5155.61,11295.6,279.859,0,0.825005
65689.1,109.911,5154.89,11283.7,280.153,1,0.0524625
65699.7,93.88,5154.89,11283.7,280.06,0,0.31876
65708.4,115.472,5154.89,11283.7,279.985,0,0.535263
65716.9,117.106,5154.89,11283.7,279.911,0,0.748745
65725.5,117.119,5154.89,11283.7,279.837,0,0.962202
65734,117.118,5154.34,11271.7,280.134,1,0.175663
65744.5,95.3125,5154.34,11271.7,280.043,0,0.437957
65753.8,107.56,5154.34,11271.7,279.963,0,0.670385
65762.3,117.235,5154.34,11271.7,279.889,0,0.883632
65771.5,109.541,5153.88,11259.7,280.181,1,0.111858
65782.7,88.7958,5153.88,11259.7,280.083,0,0.393402
65791.7,111.49,5153.88,11259.7,280.006,0,0.617638
65800.6,112.437,5153.88,11259.7,279.929,0,0.839985
65809.1,116.797,5153.47,11247.7,280.226,1,0.0540325
65819.8,94.0238,5153.47,11247.7,280.133,0,0.319923
65828.4,115.818,5153.47,11247.7,280.059,0,0.535778
65837,117.073,5153.47,11247.7,279.985,0,0.74932
