t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
50682.3,60.2301,9558.75,12654.1,793.476,0,0.55475
50697.4,66.515,9558.75,12654.1,792.059,0,0.930605
50714.4,58.639,9547.31,12650.4,791.88,1,0.356943
50730.8,61.0993,9547.31,12650.4,790.346,0,0.766113
50747.6,59.4385,9536.94,12644.4,790.193,1,0.186715
50770.5,43.7336,9536.94,12644.4,788.064,0,0.758358
50787,60.5122,9527.83,12636.6,787.944,1,0.171497
50805,55.4763,9527.83,12636.6,786.278,0,0.62214
50823.4,54.352,9519.59,12627.9,785.989,1,0.082105
50839,64.2034,9519.59,12627.9,784.558,0,0.471492
50851.6,79.1264,9519.59,12627.9,783.401,0,0.787443
50881.4,33.6095,9512,12618.6,782.086,1,0.53128
50894.7,74.9294,9512,12618.6,780.875,0,0.864927
50906.9,82.0001,9504.94,12608.9,781.162,1,0.169805
50919.9,77.079,9504.94,12608.9,779.988,0,0.494148
50932.2,81.2189,9504.94,12608.9,778.878,0,0.801957
50947.1,67.0331,9498.48,12598.8,778.922,1,0.174908
50969,45.6924,9498.48,12598.8,776.96,0,0.722045
50981.5,80.2085,9491.41,12589.1,777.226,1,0.0337325
50997.1,63.9182,9491.41,12589.1,775.831,0,0.424857
51013.6,60.5921,9491.41,12589.1,774.364,0,0.837452
51030.4,59.5738,9483.92,12579.7,774.25,1,0.2571
51051.7,47.0398,9483.92,12579.7,772.373,0,0.788565
51064.1,80.6614,9474.8,12571.9,772.65,1,0.0985025
51081,59.0469,9474.8,12571.9,771.162,0,0.521895
51098.6,56.8679,9474.8,12571.9,769.624,0,0.96151
51114.3,63.8101,9464.83,12565.2,769.618,1,0.353298
51132.2,55.6911,9464.83,12565.2,768.056,0,0.802203
51147.8,64.1017,9454.37,12559.3,768.058,1,0.192208
51164.6,59.5969,9454.37,12559.3,766.607,0,0.611692
51180.9,61.476,9443.59,12554.1,766.555,1,0.018355
51197.6,59.8197,9443.59,12554.1,765.117,0,0.436278
51215,57.4878,9443.59,12554.1,763.627,0,0.871153
51231,62.4957,9432.51,12549.4,763.603,1,0.27118
51247.5,60.4321,9432.51,12549.4,762.194,0,0.684868
51263.7,61.6424,9420.72,12547.2,762.153,1,0.0904325
51280.4,59.9679,9420.72,12547.2,760.741,0,0.507322
51297.1,59.872,9420.72,12547.2,759.331,0,0.92488
51314.7,56.8127,9408.72,12547.2,759.18,1,0.364922
51334.9,49.6662,9408.72,12547.2,757.492,0,0.868282
51349.8,67.1718,9396.73,12547.8,757.572,1,0.240462
51364.2,69.1338,9396.73,12547.8,756.365,0,0.60208
51380.5,61.5794,9384.77,12548.7,756.334,1,0.00806
51397.8,57.5987,9384.77,12548.7,754.894,0,0.442098
51413.7,63.1329,9384.77,12548.7,753.584,0,0.838087
51430.7,58.6593,9372.79,12549.4,753.492,1,0.264277
51447.7,58.98,9372.79,12549.4,752.098,0,0.68815
51466.2,53.8193,9360.8,12549.9,751.883,1,0.152667
51480.8,68.7384,9360.8,12549.9,750.694,0,0.516365
51497,61.8567,9360.8,12549.9,749.377,0,0.920525
51513.5,60.5166,9348.81,12550.2,749.336,1,0.333635
