t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
54500.4,7.8931,13450,11850,13450,11850,347.505,3,0.555703,126.693,4.56204,4.43763,3.16732,0.493236,112.521,0.3778
54636.9,7.32276,13450,11850,13450,11850,345.66,3,0.969715,136.56,5.40204,5.39356,3.41401,0.466818,119.293,0.3564
54770.5,7.48455,13450,11850,13450,11850,343.875,4,0.30993,133.609,0.522037,0.328818,3.34021,0.474569,117.183,0.4585
54907,7.32675,13450,11850,13450,11850,342.07,3,0.722085,136.486,1.36204,1.28422,3.41215,0.467012,118.358,0.3668
55046.6,7.16592,13450,11850,13450,11850,340.244,4,0.210822,139.549,2.48204,2.26107,3.48874,0.459099,125.002,0.4753
55193.8,6.79245,13450,11850,13450,11850,338.338,3,0.89138,147.222,3.32204,3.29162,3.68056,0.439863,127.705,0.4856
55361.8,5.95173,13450,11850,13450,11850,336.189,5,0.0918425,168.018,4.72204,4.46775,4.20046,0.391682,132.072,1.2503
55536.7,5.71735,13450,11850,13450,11850,333.981,4,0.4645,174.906,5.84204,5.6921,4.37266,0.376917,116.005,0.3844
55689.1,6.56376,13450,11850,13450,11850,332.082,4,0.27329,152.352,0.962038,0.75856,3.80879,0.427455,133.062,0.3796
55823.1,7.45914,13467.3,11866.5,13464.4,11863,331.315,3,0.624885,134.064,0.66,0.536212,3.35159,0.473366,118.601,0.3702
55957.9,7.42167,13487.9,11895.9,13487.9,11895.9,330.995,3,0.9934,134.741,1.65,1.64782,3.36852,0.471582,116.108,0.4311
56090.5,7.53839,13517.8,11933.3,13511.9,11927.4,331.138,4,0.30976,132.654,2.97,2.74222,3.31636,0.477102,119.664,0.4549
56222.4,7.58542,13548.9,11951.1,13544.5,11949.2,330.853,3,0.605555,131.832,3.96,3.82983,3.29579,0.479297,114.832,0.3638
56373.3,6.62748,13587.8,11923.6,13582.5,11928.9,330.77,4,0.377728,150.887,5.28,5.07465,3.77217,0.430962,137.26,0.3758
56507.3,7.46101,13609.2,11894.7,13607.3,11897.3,330.467,3,0.728482,134.03,0.27,0.27,3.35075,0.473455,116.343,0.3435
56638.2,7.63671,13639.6,11857.7,13631,11866.1,330.633,4,0.002145,130.946,1.59,1.26071,3.27366,0.48167,115.857,0.3947
56773.1,7.41251,13670.9,11841,13663.7,11843.1,330.305,3,0.37482,134.907,2.58,2.37369,3.37267,0.471144,115.524,0.375
56966,5.18525,13730.2,11847.1,13720.7,11845.3,330.16,5,0.19619,192.855,4.23,3.96474,4.82137,0.341005,123.349,0.483
57118.1,6.57606,13765.9,11850.7,13765.9,11850.7,329.653,3,0.997858,152.067,5.22,5.21929,3.80167,0.428135,125.656,0.6123
57253.4,7.38825,13813.1,11842.3,13805.8,11843.2,329.771,4,0.38161,135.35,0.539999,0.33593,3.38375,0.469981,123.202,0.4256
57403.7,6.65469,13859.3,11852.3,13850,11847.8,329.69,4,0.13836,150.27,1.86,1.57566,3.75675,0.432447,131.738,0.4242
57546.8,6.98747,13888.5,11873.3,13885.8,11871.1,329.297,3,0.716195,143.113,2.85,2.75634,3.57784,0.450062,125.449,0.438
57701.8,6.45164,13924,11905.5,13920.6,11902,329.19,4,0.591178,154.999,4.17,4.03509,3.87498,0.421187,139.507,0.3839
57839.9,7.23983,13950.7,11944.7,13946.4,11934.1,329.26,4,0.0442975,138.125,5.49,5.17462,3.45312,0.462762,124.506,0.4298
58002.5,6.15026,13928.1,11986.8,13934.8,11978.5,329.061,4,0.109168,162.595,0.809999,0.516024,4.06487,0.403714,146.167,0.3779
58152.3,6.67834,13898.8,12007.5,13900.3,12006.6,328.603,3,0.85261,149.738,1.8,1.75136,3.74344,0.433733,131.867,0.4373
58346.6,5.14532,13852.7,12045.5,13855.1,12043,328.463,5,0.711393,194.351,3.45,3.35476,4.85878,0.33817,153.144,0.5459
58500,6.51744,13844.7,12091.4,13843.9,12086,328.335,4,0.547255,153.434,4.77,4.62059,3.83586,0.42488,119.558,0.3737
58632.7,7.53839,13855.4,12125.8,13855,12124.2,328.08,3,0.863612,132.654,5.76,5.71499,3.31636,0.477103,118.849,0.3661
58774.5,7.05254,13840.8,12169.9,13845,12164.2,328.08,4,0.408433,141.793,1.08,0.884781,3.54482,0.453389,129.366,0.4368
58914.1,7.1636,13814.3,12194.3,13815.2,12193.4,327.754,3,0.8983,139.595,2.07,2.03644,3.48987,0.458983,121.878,0.3878
59071.4,6.35737,13777.9,12225.6,13779.4,12224.2,327.636,4,0.830742,157.298,3.39,3.33414,3.93244,0.415822,119.854,0.4605
59212.5,7.08661,13750,12250,13750,12250,327.334,4,0.358523,141.111,0.56,0.380386,3.52778,0.455117,120.309,0.3849
59344.5,7.57784,13750,12250,13750,12250,325.914,3,0.657615,131.964,1.4,1.30413,3.29909,0.478944,117.161,0.3834
59482.1,7.26361,13750,12250,13750,12250,324.447,4,0.09943,137.673,2.52,2.26784,3.44181,0.463931,125.147,0.3674
59621.5,7.17747,13750,12250,13750,12250,322.975,3,0.582552,139.325,3.36,3.24311,3.48312,0.459675,121.475,0.364
59781.2,6.25859,13750,12250,13750,12250,321.304,4,0.577065,159.781,4.48,4.36158,3.99451,0.410102,146.308,0.428
60036.3,3.92003,13750,12250,13750,12250,318.671,5,0,255.1,5.88,5.6,6.25,0.247921,176.441,0.3987
60188.4,6.57502,13750,12250,13750,12250,317.122,3,0.80227,152.091,0.720001,0.664637,3.80227,0.428077,124.873,0.3618
60320.1,7.59345,13750,12250,13750,12250,315.792,4,0.0945825,131.692,1.84,1.58648,3.29231,0.479669,119.811,0.3532
60453.1,7.51738,13750,12250,13750,12250,314.461,3,0.42021,133.025,2.68,2.51766,3.32563,0.476117,116.012,0.4193
60593.5,7.12275,13750,12250,13750,12250,313.067,3,0.93009,140.395,3.52,3.50043,3.50988,0.456938,122.314,0.4064
60727.3,7.47447,13750,12250,13750,12250,311.751,4,0.274808,133.789,4.64,4.43695,3.34472,0.474093,117.028,0.5361
60859.4,7.56869,13750,12250,13750,12250,310.462,3,0.577887,132.123,5.48,5.36181,3.30308,0.478518,114.239,0.3831
60994.9,7.38104,13750,12250,13750,12250,309.151,3,0.964945,135.482,0.320003,0.310187,3.38706,0.469635,120.413,0.4131
61137.5,7.01549,13750,12250,13750,12250,307.784,4,0.52849,142.542,1.44,1.30798,3.56354,0.451499,127.602,0.5253
61290.9,6.5194,13750,12250,13750,12250,306.326,4,0.3632,153.388,2.56,2.3817,3.83471,0.42499,133.24,0.4018
61476.4,5.38996,13750,12250,13750,12250,304.581,5,0.001455,185.53,3.96,3.68041,4.63826,0.355228,119.183,0.4471
61619.7,6.97584,13750,12250,13750,12250,303.247,3,0.585253,143.352,4.8,4.68387,3.5838,0.449463,119.877,0.3992
61753.5,7.47556,13750,12250,13750,12250,302.012,3,0.929485,133.769,5.64,5.62026,3.34423,0.474144,119.744,0.5158
61961.6,4.80579,13750,12250,13750,12250,300.111,5,0,208.082,1.04,0.760004,5.20206,0.313234,182.632,0.5388
62206.1,4.08929,13750,12250,13750,12250,297.907,5,0,244.541,2.44,2.16,6.11353,0.255586,207.895,0.4822
62374.3,5.94506,13750,12250,13750,12250,296.409,4,0.20517,168.207,3.56,3.33745,4.20517,0.39127,137.372,0.3521
62524.3,6.67,13750,12250,13750,12250,295.088,3,0.953295,149.925,4.4,4.38693,3.74813,0.433281,131.803,0.4614
62688.6,6.08501,13750,12250,13750,12250,293.652,5,0.06175,164.338,5.80001,5.5373,4.10846,0.399806,146.585,0.4293
62862.1,5.76245,13750,12250,13750,12250,292.151,4,0.40018,173.537,0.920006,0.752056,4.33843,0.379807,125.138,0.415
63066.3,4.89792,13750,12250,13750,12250,290.405,5,0.504393,204.168,2.32001,2.18124,5.10421,0.320148,158.588,0.4027
63224.3,6.32988,13750,12250,13750,12250,289.068,4,0.453918,157.981,3.44001,3.2871,3.94953,0.414239,135.059,0.3568
63429.9,4.86424,13750,12250,13750,12250,287.347,5,0.593463,205.582,4.84001,4.72618,5.13954,0.317634,186.556,0.4617
