t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
42709.1,45.1111,14450,13350,14450,13350,2091.05,0,0.79186,22.1675,4.76,4.70172,0.554187,0.883677,20.1123,0.0556
42728.9,50.4977,14450,13350,14450,13350,2081.53,1,0.286932,19.8029,5.04,4.84034,0.495073,0.895411,18.3531,0.0465
42751.7,43.9479,14450,13350,14450,13350,2070.7,0,0.855788,22.7542,5.04,4.99962,0.568855,0.88079,20.5859,0.0439
42777.3,39.0035,14450,13350,14450,13350,2058.64,1,0.496755,25.6387,5.32,5.17909,0.640967,0.86673,23.9912,0.0638
42799.8,44.4188,14450,13350,14450,13350,2048.16,1,0.05958,22.513,5.6,5.33668,0.562825,0.881976,19.7801,0.0468
42820.3,48.9096,14450,13350,14450,13350,2038.73,0,0.570728,20.4459,5.6,5.4798,0.511147,0.892205,18.3516,0.043
42840.9,48.3716,14450,13350,14450,13350,2029.29,1,0.08756,20.6733,5.88,5.62452,0.516832,0.891074,19.5194,0.0428
42861.1,49.5356,14450,13350,14450,13350,2020.15,0,0.592247,20.1875,5.88,5.76583,0.504687,0.893492,18.2526,0.0356
42882.7,46.463,14450,13350,14450,13350,2010.5,1,0.13031,21.5225,0.160001,0.160001,0.538063,0.886863,20.3632,0.0582
42907.6,40.044,14450,13350,14450,13350,1999.42,0,0.754623,24.9725,0.160001,0.160001,0.624313,0.869957,22.7868,0.0552
42930.2,44.3286,14450,13350,14450,13350,1989.52,1,0.318592,22.5588,0.440001,0.249207,0.56397,0.88175,20.511,0.0574
42960.2,33.3727,14450,13350,14450,13350,1976.51,1,0.0677075,29.9646,0.720001,0.458959,0.749115,0.846064,25.8809,0.0727
43010.3,19.9434,14450,13350,14450,13350,1955.12,1,0.321255,50.1419,1,0.809953,1.25355,0.755995,46.125,0.0484
43035.4,39.8176,14450,13350,14450,13350,1944.58,0,0.949117,25.1145,1,0.985754,0.627863,0.869268,22.5982,0.0365
43057.5,45.2788,14450,13350,14450,13350,1935.4,1,0.501252,22.0854,1.28,1.14035,0.552135,0.884082,20.9182,0.0313
43080,44.4452,14450,13350,14450,13350,1926.14,1,0.0637425,22.4996,1.56,1.29785,0.56249,0.882042,20.1797,0.0405
43101.9,45.6775,14450,13350,14450,13350,1917.21,0,0.611058,21.8926,1.56,1.4511,0.547315,0.885033,19.5304,0.0406
43124.3,44.6311,14450,13350,14450,13350,1908.17,1,0.171205,22.4059,1.84,1.60794,0.560148,0.882503,21.3142,0.0506
43147.4,43.1846,14450,13350,14450,13350,1898.9,0,0.750115,23.1564,1.84,1.77003,0.57891,0.878816,20.1642,0.0449
43169.5,45.3595,14450,13350,14450,13350,1890.17,1,0.301268,22.0461,2.12,1.92436,0.551153,0.884276,20.4691,0.0411
43191.5,45.39,14450,13350,14450,13350,1881.52,0,0.85205,22.0313,2.12,2.07858,0.550783,0.884349,18.7228,0.0431
43212.1,48.6874,14450,13350,14450,13350,1873.52,1,0.36553,20.5392,2.4,2.22235,0.51348,0.891741,18.2916,0.0425
43232.8,48.3005,14450,13350,14450,13350,1865.54,0,0.883123,20.7037,2.4,2.36728,0.517592,0.890923,17.4813,0.0482
43251.8,52.6327,14450,13350,14450,13350,1858.26,1,0.358113,18.9996,2.68,2.50027,0.47499,0.899433,17.2653,0.0444
43272.8,47.6075,14450,13350,14450,13350,1850.29,0,0.88324,21.0051,2.68,2.64731,0.525127,0.889426,18.2894,0.0429
43291.7,52.739,14450,13350,14450,13350,1843.15,1,0.357273,18.9613,2.96,2.78004,0.474032,0.899625,17.1309,0.0447
43312.6,47.8403,14450,13350,14450,13350,1835.35,0,0.879845,20.9029,2.96,2.92636,0.522573,0.889933,17.4403,0.028
43333,49.1831,14450,13350,14450,13350,1827.82,1,0.38815,20.3322,3.24,3.06868,0.508305,0.892771,18.5732,0.0481
43353.9,47.7138,14450,13350,14450,13350,1820.12,0,0.912108,20.9583,3.24,3.21539,0.523957,0.889658,18.0417,0.0431
43373.1,52.155,14450,13350,14450,13350,1813.13,1,0.391448,19.1736,3.52,3.34961,0.47934,0.89856,17.5261,0.0434
43394.5,46.6657,14450,13350,14450,13350,1805.39,0,0.927172,21.429,3.52,3.49961,0.535725,0.887325,18.8641,0.0411
43414.5,50.101,14450,13350,14450,13350,1798.24,1,0.426165,19.9597,3.8,3.63933,0.498993,0.894628,18.1399,0.1438
43434.9,48.938,14450,13350,14450,13350,1790.97,0,0.937015,20.434,3.8,3.78237,0.51085,0.892264,17.7355,0.0423
43453.5,53.7765,14450,13350,14450,13350,1784.41,1,0.401902,18.5955,4.08,3.91253,0.464887,0.901463,17.046,0.0414
43473.1,51.1232,14450,13350,14450,13350,1777.56,0,0.890917,19.5606,4.08,4.04946,0.489015,0.896622,17.4991,0.0496
43494.3,47.238,14450,13350,14450,13350,1770.21,1,0.420152,21.1694,4.36,4.19764,0.529235,0.888611,19.9518,0.0452
43517.9,42.2588,14450,13350,14450,13350,1762.06,1,0.011745,23.6637,4.64,4.36329,0.591592,0.876332,20.9096,0.0489
43543.8,38.6405,14450,13350,14450,13350,1753.23,0,0.658735,25.8796,4.64,4.54445,0.64699,0.865566,22.1333,0.0536
43590.4,21.4744,14450,13350,14450,13350,1737.57,1,0.822913,46.5671,4.92,4.87042,1.16418,0.771222,44.9492,0.0522
43614.7,41.0211,14450,13350,14450,13350,1729.48,1,0.432355,24.3777,5.2,5.04106,0.609442,0.872849,21.9299,0.0377
43637.7,43.6131,14450,13350,14450,13350,1721.94,1,0.0055775,22.9289,5.48,5.20156,0.573223,0.879932,20.9111,0.0419
43659.7,45.3439,14450,13350,14450,13350,1714.76,0,0.55692,22.0537,5.48,5.35594,0.551342,0.884238,19.9691,0.0471
43679,51.8473,14450,13350,14450,13350,1708.52,1,0.039105,19.2874,5.76,5.49095,0.482185,0.89799,18.1082,0.0438
43702.1,43.3,14450,13350,14450,13350,1701.11,0,0.616472,23.0947,5.76,5.65261,0.577367,0.879118,20.7191,0.0394
43722.1,49.9835,14450,13350,14450,13350,1694.74,1,0.116637,20.0066,0.0400028,0.0400028,0.500165,0.894394,18.813,0.0474
